Tokens	Path	Size
18767	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/shutdown_dialog.dart	74KiB
17881	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/ingredient_dialog.dart	71KiB
16815	/home/noah/Sidework/repos/machine-app-v3/lib/repositories/machine_repository.dart	49KiB
13941	/home/noah/Sidework/repos/machine-app-v3/lib/services/drink_service.dart	43KiB
13234	/home/noah/Sidework/repos/machine-app-v3/lib/views/screens/self_serve_screen.dart	52KiB
12727	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/ingredient_empty_error_dialog.dart	49KiB
12572	/home/noah/Sidework/repos/machine-app-v3/lib/views/screens/ingredients_screen.dart	54KiB
12512	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/deep_cleaning_dialog.dart	52KiB
11438	/home/noah/Sidework/repos/machine-app-v3/lib/repositories/mock_machine_repository.dart	34KiB
9854	/home/noah/Sidework/repos/machine-app-v3/lib/services/appsetting_service.dart	28KiB
7027	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/home_view_model.dart	24KiB
6699	/home/noah/Sidework/repos/machine-app-v3/lib/services/order_service.dart	22KiB
5569	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/ingredient_empty_error_view_model.dart	17KiB
5252	/home/noah/Sidework/repos/machine-app-v3/lib/services/eeprom_service.dart	17KiB
5137	/home/noah/Sidework/repos/machine-app-v3/lib/services/board_service.dart	16KiB
5091	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/ingredient_dialog_view_model.dart	15KiB
4943	/home/noah/Sidework/repos/machine-app-v3/lib/strings.dart	15KiB
4912	/home/noah/Sidework/repos/machine-app-v3/lib/utils.dart	12KiB
4841	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/app_settings_dialog.dart	18KiB
4748	/home/noah/Sidework/repos/machine-app-v3/lib/repositories/api_repository.dart	15KiB
4410	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/menu_item_view_model.dart	14KiB
4406	/home/noah/Sidework/repos/machine-app-v3/lib/views/tabs/pump_settings_tab.dart	15KiB
4307	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/menu_item_dialog.dart	17KiB
4279	/home/noah/Sidework/repos/machine-app-v3/lib/services/machine_service.dart	14KiB
4254	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/drink_audit_view_model.dart	14KiB
4193	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/self_serve_view_model.dart	14KiB
3732	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/deep_cleaning_view_model.dart	12KiB
3537	/home/noah/Sidework/repos/machine-app-v3/lib/views/tabs/nozzle_settings_tab.dart	14KiB
3462	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/drink_audit_dialog.dart	14KiB
3402	/home/noah/Sidework/repos/machine-app-v3/lib/services/dialog_service.dart	11KiB
3355	/home/noah/Sidework/repos/machine-app-v3/lib/styles.dart	9.3KiB
3335	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/glass_position_error_dialog.dart	12KiB
3327	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/dispensing_drink_view_model.dart	11KiB
3210	/home/noah/Sidework/repos/machine-app-v3/lib/services/menu_service.dart	9.7KiB
3127	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/qrcode_workflow_widget.dart	13KiB
3059	/home/noah/Sidework/repos/machine-app-v3/lib/views/tabs/cooling_drain_settings_tab.dart	13KiB
3047	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/single_drink_workflow_widget.dart	14KiB
3027	/home/noah/Sidework/repos/machine-app-v3/lib/services/ingredient_service.dart	8.8KiB
2870	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/drink_list_view_model.dart	8.8KiB
2818	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/app_settings_view_model.dart	8.3KiB
2810	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/shutdown_tracker_dialog.dart	13KiB
2722	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/eeprom_settings_dialog.dart	11KiB
2689	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/test_pour_view_model.dart	7.9KiB
2592	/home/noah/Sidework/repos/machine-app-v3/lib/views/screens/settings_screen.dart	8.7KiB
2327	/home/noah/Sidework/repos/machine-app-v3/lib/views/screens/orders_screen.dart	11KiB
2324	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/menu_view_model.dart	7.3KiB
2321	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/order_dropoff_dialog.dart	8.7KiB
2268	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/pickup_drinks_widget.dart	8.2KiB
2229	/home/noah/Sidework/repos/machine-app-v3/lib/views/tabs/tray_settings_tab.dart	7.9KiB
2171	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/pump_settings_view_model.dart	6.3KiB
